muni_id,muni_name_first,precip_mean_mean,precip_mean_std,precip_min_mean,precip_max_mean,precip_std_mean,precip_anomaly_mean_mean,precip_anomaly_mean_std,precip_anomaly_min_mean,precip_anomaly_max_mean,precip_anomaly_std_mean,soil_mean_mean,soil_mean_std,soil_min_mean,soil_max_mean,soil_std_mean,soil_anomaly_mean_mean,soil_anomaly_mean_std,soil_anomaly_min_mean,soil_anomaly_max_mean,soil_anomaly_std_mean,mean_distance_to_others_first,min_distance_to_others_first,max_distance_to_others_first,centroid_lon,centroid_lat,cluster,cluster_pca,cluster_spatial,cluster_hierarchical,cluster_gmm,cluster_dbscan,cluster_agglom_spatial,muni_norm,cluster_aligned
0,Lagoa Mirim,3.4825492,8.345973,1.3357881,7.471938,1.4570025,-6.5945116e-09,8.2070465,-3.1759734,4.567565,1.748434,0.44528875,0.0753956,0.20884721,0.53326553,0.09898815,0.002582064,0.061275482,-0.025733583,0.030608516,0.01905476,4.052461312732501,0.4121951167692436,5.603215285941513,-52.97243453533545,-32.75237478381318,4,2,5,8,8,-1,8,lagoa mirim,2
1,Aceguá,3.944823,9.635013,2.3033364,6.3869233,1.0376166,-5.1231837e-09,9.481659,-2.3405216,2.9433982,1.2847335,0.331466,0.07490491,0.31844887,0.37045816,0.013340451,8.717048e-05,0.06212626,-0.010935385,0.010118226,0.0059508206,3.463900473367766,0.3483674046133178,5.167733498503267,-54.13918105896716,-31.690648272486015,2,2,5,2,2,-1,0,aceguá,2
2,Água Santa,5.2008147,11.432637,3.8364096,6.852061,0.997809,3.154357e-09,11.23568,-1.8240628,2.0441418,1.2372644,0.4360469,0.046117965,0.43325675,0.43883708,0.0027901605,-0.00036106163,0.04449963,-0.0030528212,0.0023306976,0.0026917593,1.726807893398671,0.1247586156605582,5.627605847330874,-52.0517412005024,-28.213856366379748,1,3,4,5,5,0,7,água santa,7
3,Agudo,4.879193,10.999297,3.2560945,6.967214,1.098417,6.9438193e-09,10.806323,-2.197766,2.571586,1.3581079,0.43161786,0.049124055,0.4160119,0.44754142,0.011588713,-0.0005344002,0.045516968,-0.012680465,0.011719397,0.008825739,1.839366001201553,0.1289107682712769,4.144480951339627,-53.226581291694494,-29.60808719562108,0,0,3,3,3,-1,2,agudo,0
4,Ajuricaba,5.2273803,11.877068,3.9511719,6.801214,0.9242447,1.0500409e-08,11.669786,-1.7221861,1.9533622,1.1516043,0.42747888,0.052948937,0.42142665,0.43283522,0.0044807177,-0.0011621278,0.049716234,-0.0066891992,0.0038738966,0.004159824,1.962482269407278,0.137886927820488,5.452268450807473,-53.73719909022453,-28.209931293498773,1,3,1,0,3,0,7,ajuricaba,3
5,Alecrim,5.095342,11.91151,3.9415815,6.4736176,0.8357873,-2.210167e-08,11.688224,-1.5406481,1.7132586,1.0386741,0.4189272,0.05882273,0.415478,0.42237636,0.0034491739,-0.0024075736,0.054938596,-0.0055383905,0.0007232434,0.003130817,2.790526403904132,0.1395086623007235,6.155294469700916,-54.7832168531612,-27.651751011258128,6,7,1,0,1,0,3,alecrim,8
6,Alegrete,4.385277,10.530634,1.7551498,9.323137,1.6276633,-6.427267e-08,10.338803,-3.9222763,5.6680737,1.9774106,0.38891694,0.068613894,0.32472256,0.4270206,0.025592422,-0.0018422989,0.059417497,-0.029043648,0.021425573,0.012080576,3.581067510653716,0.436286165855913,6.041738587781527,-55.83571567473536,-29.76395504846666,2,2,2,6,6,-1,0,alegrete,4
7,Alegria,5.3366795,12.180483,4.2664847,6.548172,0.7899599,-2.9638254e-09,11.965286,-1.4196886,1.5205655,0.99267083,0.42289782,0.056036934,0.41883025,0.42696536,0.0040675546,-0.00147301,0.05272829,-0.004913389,0.0019673693,0.0034403794,2.2478593963195497,0.0925906128479068,5.874342614906053,-54.05620823724744,-27.81354340986073,6,7,1,0,1,0,3,alegria,8
8,Almirante Tamandaré do Sul,5.1864367,11.515732,3.9631522,6.6522827,0.8776686,1.6089338e-08,11.321708,-1.6373456,1.8187944,1.0922574,0.4315089,0.049363326,0.42611748,0.4364262,0.0044285106,-0.0003894557,0.047060225,-0.0052637584,0.0044509796,0.004169974,1.7218647584344389,0.1484570972206871,5.545629913328844,-52.907641782032954,-28.129956584417418,1,3,4,0,3,0,7,almirante tamandaré do sul,7
9,Alpestre,5.30203,11.685194,3.8353124,7.0907907,1.0308391,-1.0415729e-08,11.467589,-1.9380385,2.1743822,1.2654493,0.42845964,0.052053038,0.42282355,0.43399578,0.00438934,-0.0010115063,0.05007353,-0.0062696105,0.0040044095,0.004034413,2.233045376319752,0.119305740279883,6.444743877374423,-53.06352303474712,-27.217260971445512,1,3,4,0,3,0,7,alpestre,3
